               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029556,             0.02885,           0.0017823,             0.64164,             0.60025,             0.63678,             0.41193,            0.028965,            0.021914,            0.002122,            0.006535,            0.006535,            0.006535
                  37,            0.029388,            0.028017,           0.0019189,             0.63316,             0.60567,             0.63499,             0.41347,            0.029017,            0.021812,           0.0020513,            0.006436,            0.006436,            0.006436
                  38,            0.029152,            0.028661,           0.0018876,             0.63394,             0.60234,             0.63733,             0.41727,            0.028899,            0.021856,           0.0019689,            0.006337,            0.006337,            0.006337
                  39,            0.029269,            0.028424,            0.001996,             0.61939,             0.59839,             0.63643,             0.41926,            0.028603,            0.021617,           0.0021207,            0.006238,            0.006238,            0.006238
                  40,            0.029175,            0.028505,           0.0017015,             0.63493,             0.60038,             0.63513,             0.41731,             0.02888,            0.021935,           0.0022823,            0.006139,            0.006139,            0.006139
                  41,            0.028969,            0.028226,           0.0016756,             0.61381,             0.61833,             0.63671,             0.41899,            0.028864,            0.021676,           0.0020309,             0.00604,             0.00604,             0.00604
                  42,            0.029077,            0.028164,           0.0017094,             0.63635,             0.60252,             0.63651,             0.41953,            0.028799,             0.02174,            0.002015,            0.005941,            0.005941,            0.005941
                  43,              0.0289,             0.02817,           0.0017784,             0.61951,             0.61515,              0.6382,             0.41888,            0.028715,            0.021643,           0.0022262,            0.005842,            0.005842,            0.005842
                  44,            0.028579,            0.027805,           0.0015878,             0.62477,             0.60182,             0.63632,             0.41767,            0.028686,            0.021789,           0.0021585,            0.005743,            0.005743,            0.005743
                  45,            0.028624,            0.028044,           0.0017426,             0.61927,             0.60335,             0.63839,             0.42197,            0.028538,            0.021706,           0.0020047,            0.005644,            0.005644,            0.005644
                  46,            0.028608,            0.028379,           0.0017627,             0.63625,             0.60346,             0.63933,             0.42208,            0.028607,            0.021985,           0.0018843,            0.005545,            0.005545,            0.005545
                  47,            0.028097,            0.027129,           0.0014481,             0.62025,             0.60489,             0.63536,              0.4185,            0.028821,            0.022046,           0.0020146,            0.005446,            0.005446,            0.005446
                  48,            0.028195,            0.028131,           0.0015493,             0.63114,             0.61163,             0.63902,             0.42258,            0.028589,            0.021819,           0.0018826,            0.005347,            0.005347,            0.005347
                  49,            0.028097,            0.027702,           0.0015665,             0.63656,             0.61831,             0.63798,             0.42192,            0.028699,            0.021764,           0.0021191,            0.005248,            0.005248,            0.005248
                  50,            0.028114,            0.026958,           0.0014813,             0.62389,             0.60266,             0.63692,             0.42109,            0.028515,            0.021679,           0.0018119,            0.005149,            0.005149,            0.005149
                  51,            0.027787,            0.027395,            0.001461,             0.61095,             0.62634,             0.63844,              0.4212,            0.028666,            0.021648,           0.0017695,             0.00505,             0.00505,             0.00505
                  52,            0.027811,            0.027386,           0.0014139,             0.62364,              0.5984,              0.6376,             0.41935,            0.028717,            0.021734,           0.0019753,            0.004951,            0.004951,            0.004951
                  53,            0.027942,            0.026812,           0.0014641,             0.62457,             0.59562,             0.63734,             0.41989,            0.028693,            0.021771,           0.0020495,            0.004852,            0.004852,            0.004852
                  54,            0.027694,            0.026991,           0.0014152,             0.60941,             0.61587,             0.63694,             0.42175,            0.028546,            0.021852,           0.0019914,            0.004753,            0.004753,            0.004753
                  55,            0.027385,             0.02679,           0.0013659,             0.65569,             0.60861,              0.6398,             0.42443,             0.02848,            0.021626,           0.0019127,            0.004654,            0.004654,            0.004654
                  56,             0.02726,            0.026136,           0.0013225,             0.65238,             0.60278,             0.63749,             0.42279,            0.028535,            0.021927,            0.002051,            0.004555,            0.004555,            0.004555
                  57,            0.027298,            0.026924,           0.0013308,             0.61883,             0.61653,             0.63775,             0.42385,            0.028398,            0.021783,           0.0019623,            0.004456,            0.004456,            0.004456
                  58,            0.027229,            0.026934,           0.0013603,             0.64111,             0.60197,              0.6361,             0.42044,            0.028633,            0.021996,           0.0018652,            0.004357,            0.004357,            0.004357
                  59,            0.027051,            0.026694,           0.0012762,             0.62546,             0.60354,             0.63735,              0.4232,            0.028451,            0.021977,           0.0018733,            0.004258,            0.004258,            0.004258
                  60,            0.026894,            0.026732,           0.0012949,             0.62616,             0.60127,             0.63687,             0.42318,            0.028493,            0.021932,           0.0018629,            0.004159,            0.004159,            0.004159
                  61,            0.026751,            0.026154,            0.001315,             0.64843,             0.60238,             0.63793,             0.42311,            0.028379,            0.021803,            0.001992,             0.00406,             0.00406,             0.00406
                  62,            0.026929,             0.02632,           0.0012044,             0.62318,             0.60394,             0.63714,             0.42254,            0.028511,            0.021827,           0.0018871,            0.003961,            0.003961,            0.003961
                  63,            0.026388,            0.026161,           0.0010484,             0.62773,             0.60627,             0.63708,             0.42379,            0.028465,            0.021806,           0.0018775,            0.003862,            0.003862,            0.003862
                  64,            0.026548,            0.026115,           0.0012652,             0.62325,             0.61953,             0.63832,             0.42351,            0.028427,            0.022004,           0.0018253,            0.003763,            0.003763,            0.003763
                  65,             0.02659,            0.026236,           0.0012152,             0.62633,             0.60136,             0.63695,             0.42137,            0.028474,            0.022094,           0.0018393,            0.003664,            0.003664,            0.003664
                  66,            0.026352,            0.025797,           0.0011035,             0.62976,             0.59854,             0.63673,             0.42252,            0.028494,            0.022245,           0.0018634,            0.003565,            0.003565,            0.003565
                  67,            0.026087,             0.02563,            0.001211,             0.62082,             0.60485,             0.63597,             0.42312,            0.028468,             0.02229,           0.0020532,            0.003466,            0.003466,            0.003466
                  68,            0.026111,            0.025101,           0.0011402,             0.62474,              0.6008,             0.63632,             0.42511,            0.028388,            0.022195,           0.0019583,            0.003367,            0.003367,            0.003367
                  69,            0.026119,            0.025359,           0.0010173,             0.62727,             0.60096,             0.63652,             0.42164,            0.028492,            0.022329,           0.0021042,            0.003268,            0.003268,            0.003268
                  70,            0.026077,            0.025687,           0.0011385,             0.65799,             0.62145,             0.63794,               0.422,            0.028477,            0.022253,           0.0019263,            0.003169,            0.003169,            0.003169
                  71,             0.02572,            0.025079,           0.0011539,             0.67958,             0.60682,             0.63721,             0.42406,             0.02846,            0.022074,           0.0018837,             0.00307,             0.00307,             0.00307
