               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082605,            0.049324,            0.026659,             0.54921,             0.37225,             0.27269,             0.10975,            0.055766,            0.026812,            0.019419,            0.070137,           0.0033181,           0.0033181
                   1,            0.060463,            0.038433,            0.014031,             0.66569,             0.42973,             0.36913,             0.16696,            0.050329,            0.024332,            0.007122,            0.040005,           0.0065197,           0.0065197
                   2,            0.055087,            0.036932,           0.0084709,             0.81571,             0.50114,             0.52062,             0.23277,            0.049007,            0.025156,           0.0057251,           0.0097416,           0.0095894,           0.0095894
                   3,            0.048215,            0.035836,           0.0068112,             0.92192,             0.51967,             0.58217,             0.31973,            0.040689,            0.025036,           0.0059563,            0.009406,            0.009406,            0.009406
                   4,            0.043721,            0.035754,           0.0057733,             0.92018,             0.56473,             0.60145,             0.32572,            0.037943,            0.023422,           0.0054357,            0.009406,            0.009406,            0.009406
                   5,            0.041205,            0.035183,           0.0050673,             0.89172,             0.56311,             0.57908,             0.32938,            0.036006,            0.023599,           0.0040978,            0.009208,            0.009208,            0.009208
                   6,            0.039686,            0.035267,           0.0047178,             0.93505,             0.57787,             0.62407,             0.35536,            0.034981,            0.023301,           0.0035269,             0.00901,             0.00901,             0.00901
                   7,            0.038382,             0.03456,           0.0041213,             0.94686,             0.58156,             0.62403,             0.36284,            0.033713,            0.022423,           0.0031168,            0.008812,            0.008812,            0.008812
                   8,            0.037311,            0.034248,           0.0037747,             0.95696,             0.59022,             0.62824,             0.38136,            0.032552,            0.022386,           0.0026392,            0.008614,            0.008614,            0.008614
                   9,            0.035825,             0.03342,           0.0039286,             0.94593,             0.58791,             0.62748,             0.38695,            0.031182,            0.022546,           0.0028711,            0.008416,            0.008416,            0.008416
                  10,            0.035571,            0.033628,            0.003889,             0.95328,             0.58731,             0.63109,             0.39771,            0.031674,            0.022142,           0.0026403,            0.008218,            0.008218,            0.008218
