               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  11,            0.034563,            0.032743,           0.0034204,             0.95419,             0.58854,             0.62967,             0.39502,            0.031089,            0.022151,           0.0027486,             0.00802,             0.00802,             0.00802
                  12,            0.034179,            0.031697,           0.0032432,             0.61675,             0.59073,             0.63091,             0.39632,            0.030953,            0.022129,           0.0026963,            0.007822,            0.007822,            0.007822
                  13,            0.033762,            0.032193,           0.0033389,             0.59901,              0.6026,             0.63218,             0.40114,             0.03024,            0.022245,           0.0027055,            0.007624,            0.007624,            0.007624
                  14,            0.033159,            0.031845,           0.0032315,             0.93981,             0.59881,             0.63357,             0.40462,            0.030348,            0.021804,           0.0027146,            0.007426,            0.007426,            0.007426
                  15,            0.033012,             0.03208,           0.0029275,             0.62235,             0.58914,             0.63252,             0.40499,            0.029924,            0.021859,           0.0025059,            0.007228,            0.007228,            0.007228
                  16,             0.03249,            0.031194,           0.0027673,             0.62168,             0.59618,             0.63825,             0.40742,            0.029539,            0.021547,           0.0022751,             0.00703,             0.00703,             0.00703
                  17,            0.031967,             0.03129,           0.0026006,             0.62392,              0.5924,             0.63236,              0.4084,            0.029776,            0.021953,           0.0023854,            0.006832,            0.006832,            0.006832
                  18,            0.031739,            0.030731,           0.0026811,             0.62208,              0.5923,             0.63493,             0.40144,            0.029896,            0.021737,           0.0022282,            0.006634,            0.006634,            0.006634
                  19,            0.031556,            0.030518,           0.0026009,             0.61964,             0.59973,             0.63712,             0.40979,            0.029334,            0.021662,           0.0021587,            0.006436,            0.006436,            0.006436
                  20,            0.031236,            0.029867,            0.002466,             0.61616,              0.6007,             0.63615,             0.41133,             0.02928,            0.021518,           0.0020422,            0.006238,            0.006238,            0.006238
                  21,            0.030911,            0.029376,           0.0024471,             0.61955,              0.6135,             0.63605,             0.40908,            0.029541,            0.021748,           0.0021665,             0.00604,             0.00604,             0.00604
                  22,            0.030481,            0.029984,           0.0021842,             0.61436,             0.60993,             0.63763,             0.41346,             0.02912,            0.021585,           0.0019572,            0.005842,            0.005842,            0.005842
                  23,             0.03068,            0.029679,            0.002184,             0.59908,              0.6314,             0.63816,              0.4103,            0.029279,            0.021528,           0.0019992,            0.005644,            0.005644,            0.005644
                  24,            0.030077,            0.029892,           0.0020424,             0.61156,             0.62947,             0.63845,             0.41252,            0.029558,            0.021678,           0.0019755,            0.005446,            0.005446,            0.005446
                  25,            0.030202,            0.028939,            0.002162,             0.60162,             0.62135,             0.63693,             0.41617,            0.028933,            0.021534,           0.0020995,            0.005248,            0.005248,            0.005248
                  26,            0.029706,            0.029481,           0.0021922,             0.64226,             0.61191,             0.64155,             0.41742,            0.028884,            0.021486,           0.0019873,             0.00505,             0.00505,             0.00505
                  27,            0.029628,            0.029147,           0.0020612,             0.62617,             0.60088,             0.63821,             0.41703,            0.028564,             0.02148,            0.001893,            0.004852,            0.004852,            0.004852
                  28,            0.029306,            0.029025,           0.0018746,             0.62812,             0.60478,             0.63836,             0.41609,            0.028842,             0.02143,           0.0017681,            0.004654,            0.004654,            0.004654
                  29,            0.029379,            0.028563,           0.0017494,             0.61733,             0.64534,             0.64312,             0.41911,            0.028464,            0.021536,           0.0019016,            0.004456,            0.004456,            0.004456
                  30,            0.029064,            0.028836,           0.0016764,             0.61735,             0.62475,             0.64031,             0.42077,            0.028387,            0.021449,           0.0019084,            0.004258,            0.004258,            0.004258
                  31,            0.028941,            0.028442,           0.0017841,             0.62383,             0.61063,             0.63934,             0.41917,            0.028508,             0.02166,           0.0018799,             0.00406,             0.00406,             0.00406
                  32,            0.028573,            0.028089,           0.0016761,             0.62154,             0.60513,             0.63885,             0.41798,            0.028535,            0.021404,           0.0019032,            0.003862,            0.003862,            0.003862
                  33,            0.028731,            0.028365,           0.0016936,             0.63123,             0.61366,             0.63946,             0.42109,            0.028431,            0.021451,           0.0019359,            0.003664,            0.003664,            0.003664
                  34,            0.028272,            0.027887,           0.0017051,             0.64354,             0.60934,             0.63896,             0.41993,            0.028491,            0.021654,           0.0019432,            0.003466,            0.003466,            0.003466
                  35,             0.02793,            0.028091,           0.0016074,             0.62798,             0.59968,             0.63984,             0.42094,            0.028325,            0.021628,           0.0017954,            0.003268,            0.003268,            0.003268
                  36,            0.028124,            0.027822,           0.0014274,             0.62083,              0.6066,             0.63967,             0.42097,            0.028474,            0.021631,           0.0017603,             0.00307,             0.00307,             0.00307
                  37,            0.027974,            0.027049,           0.0015543,             0.64474,             0.61223,             0.63882,             0.42298,             0.02843,            0.021602,           0.0018921,            0.002872,            0.002872,            0.002872
                  38,            0.027852,            0.027496,           0.0014674,             0.64438,             0.62517,             0.64094,             0.42306,            0.028368,            0.021518,           0.0017598,            0.002674,            0.002674,            0.002674
                  39,             0.02757,            0.027061,           0.0015481,             0.62673,             0.62598,             0.64079,             0.42523,            0.028298,            0.021642,           0.0017542,            0.002476,            0.002476,            0.002476
                  40,             0.02753,            0.027223,           0.0013449,             0.64413,             0.62136,             0.64043,             0.42527,             0.02831,            0.021623,           0.0018817,            0.002278,            0.002278,            0.002278
                  41,            0.027267,             0.02691,           0.0013003,             0.66046,             0.60961,              0.6445,             0.42615,            0.028349,            0.021484,           0.0018537,             0.00208,             0.00208,             0.00208
                  42,            0.027382,            0.026875,           0.0013558,             0.63106,             0.62174,             0.64136,              0.4261,            0.028223,            0.021527,           0.0018661,            0.001882,            0.001882,            0.001882
                  43,            0.027175,            0.026905,           0.0014692,             0.67987,             0.61695,             0.64251,              0.4269,            0.028294,            0.021642,           0.0018602,            0.001684,            0.001684,            0.001684
                  44,            0.026925,            0.026581,           0.0011808,             0.62978,             0.62379,              0.6428,             0.42794,            0.028053,            0.021473,           0.0018043,            0.001486,            0.001486,            0.001486
                  45,            0.026882,            0.026686,           0.0013345,             0.64319,             0.61574,              0.6418,             0.42737,            0.028159,            0.021415,           0.0018554,            0.001288,            0.001288,            0.001288
                  46,            0.026854,            0.026933,           0.0013421,             0.65407,             0.60523,             0.64021,             0.42563,            0.028124,            0.021629,           0.0018205,             0.00109,             0.00109,             0.00109
                  47,            0.026267,            0.025802,           0.0010776,             0.64806,             0.62039,             0.64183,              0.4275,            0.028006,            0.021503,           0.0018405,            0.000892,            0.000892,            0.000892
                  48,            0.026435,            0.026706,           0.0011809,             0.65363,             0.62166,             0.64188,             0.42775,            0.028061,            0.021531,           0.0018143,            0.000694,            0.000694,            0.000694
                  49,            0.026342,            0.026259,           0.0011803,             0.65548,              0.6092,             0.64128,             0.42849,            0.028051,            0.021574,           0.0018352,            0.000496,            0.000496,            0.000496
